section,field_path,data_type,required,nullable,cardinality,producer,authority,mutability,state_vocabulary,description,conditions
record_metadata,record_metadata.schema_version,string,yes,no,one,Unitalk release process,Canonical A2 schema,immutable_revision,,Canonical A2 record schema version.,
record_metadata,record_metadata.record_kind,enum,yes,no,one,Revision builder,Runtime/test fixture,immutable_revision,record_kind,Synthetic versus real authorised business record.,
record_metadata,record_metadata.a2_record_id,string,yes,no,one,Deterministic initialiser,A2 lineage,immutable_input,,Stable A2 lineage identifier for one accepted A1 handoff version.,
record_metadata,record_metadata.record_revision_id,string,yes,no,one,Revision builder,A2 revision store,immutable_revision,,Unique immutable revision identifier.,
record_metadata,record_metadata.revision_number,integer,yes,no,one,Revision builder,A2 revision store,immutable_revision,,Positive deterministic sequence within the A2 lineage.,
record_metadata,record_metadata.supersedes_revision_id,string,yes,yes,zero_or_one,Revision builder,A2 revision store,immutable_revision,,Previous revision ID; null only for the first revision.,
record_metadata,record_metadata.supersedes_a2_record_id,string,yes,yes,zero_or_one,Revision builder,A2 lineage store,immutable_revision,,Prior A2 lineage superseded by a materially changed A1 handoff.,
record_metadata,record_metadata.run_id,string,yes,no,one,Runtime controller,A2 runtime,immutable_revision,,Run identifier that created the revision.,
record_metadata,record_metadata.audit_correlation_id,string,yes,no,one,Runtime controller,Audit layer,immutable_revision,,"Correlation ID shared across handoff, evidence, review and actions.",
record_metadata,record_metadata.created_at,datetime,yes,no,one,Revision builder,Audit clock,immutable_revision,,Revision creation timestamp.,
record_metadata,record_metadata.created_by,object,yes,no,one,Revision builder,Audit identity,immutable_revision,,Actor/profile/workflow that created the revision.,
record_metadata,record_metadata.change_reason,enum,yes,no,one,Revision builder,A2 state model,immutable_revision,change_reason,Reason a new immutable revision was created.,
source_handoff,source_handoff.handoff_schema_version,string,yes,no,one,A1 handoff,Accepted handoff,immutable_input,,A1-to-A2 handoff schema version.,
source_handoff,source_handoff.handoff_id,string,yes,no,one,A1 handoff,Accepted handoff,immutable_input,,Stable handoff identifier.,
source_handoff,source_handoff.idempotency_key,string,yes,no,one,A1 handoff,Accepted handoff,immutable_input,,Delivery and processing idempotency key.,
source_handoff,source_handoff.operating_scope,enum,yes,no,one,A1 handoff,Accepted handoff,immutable_input,operating_scope,"Synthetic, manual no-integration, integrated pilot or production scope.",
source_handoff,source_handoff.eligibility_status,enum,yes,no,one,A1 handoff validator,Accepted handoff,immutable_input,eligibility_status,Eligibility status accepted by A2.,
