canonical_record_sha256,field_assessment_id,field_key,scope,target_id,presence_status,availability_status,field_quality_status,baseline_value_json,observations_json,proposed_action,proposed_value_json,verification_status,confidence_level,freshness_status,conflict_status,protected_status,evidence_ids_json,field_review_decision,field_review_reason,application_status,workflow_dependency_status,application_error_json,external_action_reference
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-STEP8-RR-ORG-NAME,organisation.business_name,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,known,available,complete,"""Rood & Riddle Equine Hospital""",[],retain,"""Rood & Riddle Equine Hospital""",verified,high,current,none,unassessed,"[""EV-RR-CONTACT-001"",""EV-RR-LEX-001"",""EV-RR-TEAM-001""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-STEP8-RR-LOCATION,organisation.public_business_location,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,known,available,complete,"{""components"":[{""key"":""country_code"",""value"":""US""},{""key"":""state_region"",""value"":""Kentucky""},{""key"":""city"",""value"":""Lexington""},{""key"":""postal_code"",""value"":""40511""},{""key"":""public_address"",""value"":""2150 Georgetown Road, Lexington, KY 40511""}]}",[],retain,"{""components"":[{""key"":""country_code"",""value"":""US""},{""key"":""state_region"",""value"":""Kentucky""},{""key"":""city"",""value"":""Lexington""},{""key"":""postal_code"",""value"":""40511""},{""key"":""public_address"",""value"":""2150 Georgetown Road, Lexington, KY 40511""}]}",verified,high,current,none,unassessed,"[""EV-RR-CONTACT-001"",""EV-RR-LEX-001"",""EV-RR-TEAM-001""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-STEP8-RR-WEBSITE,organisation.website,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,known,available,complete,"""https://roodandriddle.com/lexington-podiatry-team""",[],retain,"""https://roodandriddle.com/lexington-podiatry-team""",verified,high,current,none,unassessed,"[""EV-RR-CONTACT-001"",""EV-RR-LEX-001"",""EV-RR-TEAM-001""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-STEP8-RR-DOMAIN,organisation.website_domain,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,known,available,complete,"""roodandriddle.com""",[],retain,"""roodandriddle.com""",verified,high,current,none,unassessed,"[""EV-RR-CONTACT-001"",""EV-RR-LEX-001"",""EV-RR-TEAM-001""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-STEP8-RR-ORG-PHONE,organisation.business_phone,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,known,available,complete,"""(859) 233-0371""",[],retain,"""(859) 233-0371""",verified,high,current,none,unassessed,"[""EV-RR-CONTACT-001""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-STEP8-RR-PERSON-NAME,person.full_name,person,A2-ENT-5DC8D468C11B265DA37B_PERSON,known,available,complete,"""Manfred Eckert""",[],retain,"""Manfred Eckert""",verified,high,current,none,unassessed,"[""EV-RR-CONTACT-001"",""EV-RR-LEX-001"",""EV-RR-TEAM-001""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-5250BDB1758E6551,person.role_title,person,A2-ENT-5DC8D468C11B265DA37B_PERSON,known,available,complete,"""Co-Founder/Farrier""","[{""claim_type"":""direct_fact"",""confidence_level"":""high"",""error"":null,""evidence_ids"":[""A2-EV-STEP8-RR-ROLE""],""freshness_status"":""undated"",""normalised_value"":""Co-Founder/Farrier"",""observation_id"":""A2-OBS-RR-ROLE-TITLE-001"",""raw_value"":""Co-Founder/Farrier"",""verification_status"":""verified""}]",no_change,"""Co-Founder/Farrier""",verified,high,undated,none,not_protected,"[""EV-RR-CONTACT-001"",""EV-RR-LEX-001"",""EV-RR-TEAM-001"",""A2-EV-STEP8-RR-ROLE""]",not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-7C9E495FD7C5F607,person.professional_status,person,A2-ENT-5DC8D468C11B265DA37B_PERSON,unknown,not_found,gap,null,[],,null,,,,,,[],not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-4678012972BE1E9E,organisation.service_area,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,unknown,not_found,gap,null,[],,null,,,,,,[],not_required,,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-559EE482F011D31A,organisation.disciplines,organisation,A2-ENT-5DC8D468C11B265DA37B_ORGANISATION,known,available,complete,null,"[{""claim_type"":""direct_fact"",""confidence_level"":""high"",""error"":null,""evidence_ids"":[""A2-EV-STEP8-RR-DISCIPLINES""],""freshness_status"":""undated"",""normalised_value"":[""all breeds and disciplines""],""observation_id"":""A2-OBS-RR-DISCIPLINES-001"",""raw_value"":[""all breeds and disciplines""],""verification_status"":""verified""}]",add,"[""all breeds and disciplines""]",verified,high,undated,none,not_protected,"[""A2-EV-STEP8-RR-DISCIPLINES""]",approved,Approved as organisation-level context using the exact official wording 'all breeds and disciplines'; it is not treated as a Podiatry-specific discipline claim.,not_requested,not_checked,null,
6b5588934629edc1a590d91709dd40d6f9f8dcf6d59634a52d3bc0c185c4ed0e,A2-FLD-420BC91BE7E0E495,person.business_email,person,A2-ENT-5DC8D468C11B265DA37B_PERSON,unknown,not_found,gap,null,[],,null,,,,,,[],not_required,,not_requested,not_checked,null,
