source_id,name,source_type,canonical_url,business_approval,source_rights_preflight,runtime_readiness,register_status,purpose,allowed_access_modes,permitted_fields,prohibited_fields,limits,notes
a1_approved_handoff,Approved A1-to-A2 handoff,internal_structured_handoff,null,approved,approved_internal_contract,manual_fixture_ready_durable_integration_pending,approved,"Reuse approved identity, contacts, evidence and limitations.","[""structured_read""]","[""all approved handoff fields""]","[""mutation of A1 snapshot"",""recollection without a named gap""]","{""max_handoffs_per_record"":1}","[""Primary starting source for every A2 record.""]"
hubspot_authoritative_records,HubSpot authoritative records,crm,https://www.hubspot.com/,approved_system_of_record,oauth_and_source_permissions_required,integration_pending,conditional,"Read authoritative customer, Deal, consent, suppression, owner and lifecycle state.","[""approved_read_only_api""]","[""approved Contact, Company and Deal properties"",""Contact.owner_horse_count"",""Contact.owner_breeds""]","[""write"",""unscoped export"",""cross-business-unit access""]","{""read_scope"":""least_privilege"",""writes"":0}","[""Metadata snapshots received; live OAuth and records unavailable."",""For an existing matched record, Contact.owner_horse_count is authoritative for horse count.""]"
equinet_authorized_first_party_data,Equinet first-party enrichment dataset,first_party,null,confirmed_not_available_for_a2_enrichment,not_applicable,not_available,not_available,Record that Equinet has no separate first-party dataset for A2 enrichment.,[],[],"[""use as a planned enrichment source""]","{""new_source_calls"":0}","[""Séverine confirmed that Equinet will not provide separate first-party enrichment data. FullEnrich is a third-party provider, not first-party data.""]"
prospect_official_website,Prospect official business website,prospect_owned_website,null,approved_by_equinet,per_domain_terms_and_robots_preflight,runtime_policy_pending,conditional,"Check every retained candidate for identity, role, professional contacts and approved field gaps.","[""bounded_public_web_read""]","[""business name"",""current professional role"",""published professional email"",""published business phone"",""business location"",""services"",""disciplines"",""service area"",""credentials claimed by the business"",""stable or farm type"",""explicit horse count"",""dated professional activity"",""public professional profile URLs"",""explicit horse breeds""]","[""login-gated data"",""private personal data"",""inferred email patterns"",""inferred horse count"",""named client identities""]","{""max_pages_per_candidate"":5,""max_retry_per_failed_url"":1,""concurrency"":1,""required_pages"":[""home_or_primary"",""about_or_team_when_available"",""services_when_available"",""contact_or_location_when_available""],""capture_explicit_outbound_professional_social_links"":true,""open_or_extract_linked_social_profiles"":false}","[""If no official site is located, record not_found; do not substitute an unverified directory as the official site."",""Capture explicit outbound LinkedIn, Facebook, Instagram, YouTube and other clearly professional social-profile URLs found on approved official-site pages."",""Classify a link as person or organisation only when the official-page context supports that attribution; otherwise hold it as ambiguous."",""Retaining the URL does not authorise opening, crawling or extracting the linked social profile."",""An explicit horse count may support a net-new prospect only; an existing matched HubSpot owner_horse_count remains authoritative.""]"
equinet_representative_confirmation,Recorded Equinet representative confirmation,first_party_human,null,approved_for_recorded_review,authorised_reviewer_required,manual_available,approved,Record authorised corrections and business context.,"[""recorded_human_confirmation""]","[""confirmed business facts"",""documented correction""]","[""unattributed statement"",""outreach consent inference""]","{""reviewer_required"":true}","[""Must include actor and timestamp.""]"
official_professional_registry,Additional official professional associations and registries,official_registry,null,not_in_scope_except_a1_handoff_reuse,not_applicable_until_scope_changes,not_configured,not_selected,No additional direct A2 registry access is required beyond evidence already collected by A1.,[],[],"[""new registry access"",""member-only data"",""bulk extraction""]","{""new_source_calls"":0}","[""Séverine confirmed that A2 has no additional registry or association to visit at this stage.""]"
a1_directory_evidence_reuse,A1 directory evidence reuse,upstream_evidence,null,approved_for_reuse_only,inherits_original_evidence_scope,available_through_handoff,approved,Reuse approved A1 directory evidence already carried in the handoff.,"[""handoff_evidence_reuse""]","[""fields already present in the A1 evidence item""]","[""new directory crawl"",""broader A2 extraction purpose""]","{""new_source_calls"":0}","[""A1 source approval does not authorise new A2 access.""]"
fullenrich_people_search,FullEnrich People Search,commercial_people_search_provider,https://app.fullenrich.com/api/v2/people/search,approved_by_equinet_for_a2_business_purpose,provider_dpa_retention_and_data_route_review_pending,api_key_n8n_connector_budget_and_account_test_pending,conditional,Find a role-relevant named person inside the exact approved prospect organisation when the official website does not provide one.,"[""fullenrich_api_v2_via_approved_n8n_workflow_after_all_gates""]","[""person.full_name"",""person.role_title"",""person.public_profile_urls"",""organisation.business_name"",""organisation.public_business_location""]","[""email or phone from Search response"",""personal email"",""full career history"",""education"",""skills"",""connection counts"",""personal description"",""role-free broad search"",""cross-organisation search""]","{""trigger"":""no_suitable_named_contact_after_official_website_check"",""exact_organisation_domain_required"":true,""approved_target_role_required"":true,""default_result_limit"":1,""subsequent_role_specific_search_only_when_no_suitable_person_returned"":true,""max_unique_people_returned_per_prospect"":2,""max_retained_contacts_per_prospect"":2,""second_contact_requires_reason"":[""large_organisation"",""shared_purchasing_or_operational_responsibility""],""broad_role_free_search"":false,""concurrency"":1,""documented_default_credit_per_returned_person"":0.25,""actual_premium_plan_rate_must_be_verified"":true}","[""Search returns professional profile data, not contact email or phone."",""Use approved A2 target-role aliases and preserve the returned source title."",""Stop once a suitable person is found unless the second-contact rule is already satisfied.""]"
fullenrich_people_lookup,FullEnrich People Lookup,commercial_people_lookup_provider,https://app.fullenrich.com/api/v2/people/lookup,approved_by_equinet_for_a2_business_purpose,provider_dpa_retention_and_data_route_review_pending,api_key_n8n_connector_budget_and_account_test_pending,conditional,"Resolve a known person's identity, current role and organisation before contact enrichment when those facts remain uncertain.","[""fullenrich_api_v2_via_approved_n8n_workflow_after_all_gates""]","[""person.full_name"",""person.role_title"",""person.public_profile_urls"",""organisation.business_name"",""organisation.public_business_location""]","[""email or phone from Lookup response"",""personal email"",""full career history"",""education"",""skills"",""connection counts"",""personal description""]","{""trigger"":""known_contact_identity_or_current_role_requires_verification"",""max_results"":1,""skip_when_name_role_and_organisation_already_verified"":true,""exact_company_identifier_required_with_name"":true,""concurrency"":1,""documented_default_credit_per_returned_person"":0.25,""actual_premium_plan_rate_must_be_verified"":true}","[""Lookup returns at most one professional profile and does not return email or phone."",""Prefer a person professional-network URL; otherwise use full name plus exact company domain or company professional-network identifier.""]"
fullenrich_contact_enrichment,FullEnrich Contact Enrichment,commercial_contact_enrichment_provider,https://app.fullenrich.com/api/v2/contact/enrich/bulk,approved_by_equinet_for_a2_business_purpose,provider_dpa_retention_and_data_route_review_pending,api_key_n8n_webhook_budget_and_account_test_pending,conditional,Find a selected person's professional email and mobile phone after identity and role selection.,"[""fullenrich_api_v2_async_via_approved_n8n_workflow_after_all_gates""]","[""person.business_email"",""person.mobile_phone"",""email verification result"",""provider provenance"",""verification timestamp"",""person.personal_email_candidate"",""personal-email verification status"",""incidental-return provenance""]","[""contact.personal_emails request"",""unselected-person enrichment"",""full career history"",""education"",""skills"",""connection counts"",""personal description"",""outreach consent inference"",""automatic send"",""dedicated personal-email request by default""]","{""trigger"":""selected_contact_after_role_and_company_match"",""selected_contacts_only"":true,""requested_enrich_fields"":[""contact.work_emails"",""contact.phones""],""personal_email_requested"":false,""max_contacts_per_prospect"":2,""second_contact_requires_reason"":[""large_organisation"",""shared_purchasing_or_operational_responsibility""],""concurrency"":1,""max_retry_on_transient_failure"":1,""documented_default_work_email_credit_if_found"":1,""documented_default_mobile_credit_if_found"":10,""actual_premium_plan_rate_must_be_verified"":true,""asynchronous"":true,""webhook_signature_required"":""X-Signature-SHA1"",""incidental_personal_email_retained"":true}","[""The API request omits contact.personal_emails by default. If a personal email is nevertheless returned, retain it separately with provenance and verification status for human review."",""A returned phone is stored as person.mobile_phone and is not relabelled as person.business_phone."",""The absence of a mobile does not by itself block review."",""Only field-minimised normalised evidence may leave the n8n integration boundary.""]"
