field_key,label,scope,value_type,allowed_segments,farrier_priority,horse_owner_priority,collection_policy,data_category,inference_policy,paid_lookup_allowed,enum_values,a1_requalification_criterion_ids,approval_rule,unknown_behaviour,mapping_candidates,description
person.full_name,Full name,person,string,"[""farrier"",""horse_owner""]",required,conditional_required,permitted_for_proposal,professional_business_data,not_permitted,true,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""firstname"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""contact"",""property"":""lastname"",""status"":""mapping_candidate_only""}]",Published or authorised name of a named professional contact.
person.role_title,Current role title,person,string,"[""farrier"",""horse_owner""]",required,required,permitted_for_proposal,professional_business_data,not_permitted,true,null,"[""farrier.buying_influence"",""horse_owner.purchasing_influence""]",human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""jobtitle"",""status"":""mapping_candidate_only""}]",Current source wording for the person's professional role.
person.business_email,Professional email,person,string,"[""farrier"",""horse_owner""]",conditional_required,conditional_required,permitted_for_proposal,professional_business_data,not_permitted,true,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""work_email"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""contact"",""property"":""email"",""status"":""mapping_candidate_only""}]",Explicitly published or authorised professional-use email; never a guessed pattern.
person.personal_email_candidate,Personal email candidate,person,string,"[""farrier"",""horse_owner""]",optional,optional,retain_if_incidentally_returned_by_approved_contact_enrichment,personal_contact_data,not_permitted,false,null,[],human_privacy_review_required_no_consent_outreach_or_automatic_crm_write,preserve_unknown_and_record_gap_when_required,[],"Personal email not requested by default; if returned incidentally by approved FullEnrich contact enrichment, retain it as a separate personal-email candidate with provider provenance and verification status."
person.business_phone,Professional phone,person,string,"[""farrier"",""horse_owner""]",conditional_required,conditional_required,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""phone"",""status"":""mapping_candidate_only""}]",Explicitly published or authorised professional business phone.
person.mobile_phone,Mobile or direct dial,person,string,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal_from_selected_contact_enrichment,personal_contact_data,not_permitted,true,null,[],human_review_required_during_pilot_no_outreach_authority,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""mobilephone"",""status"":""mapping_candidate_only""}]","Mobile number returned by approved FullEnrich contact enrichment for a selected contact; actively sought, stored separately from business phone and not required by itself for review readiness."
person.secondary_email,Secondary email,person,string,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""secondary_email"",""status"":""mapping_candidate_only""}]",Secondary professional-use email retained only when encountered without paid lookup.
person.professional_status,Farrier professional status,person,enum,"[""farrier""]",required,not_applicable,permitted_for_proposal,professional_business_data,not_permitted,false,"[""full_time"",""part_time"",""student_apprentice""]","[""farrier.professional_activity"",""farrier.apprentice_future_potential"",""farrier.inactive_or_hobbyist""]",human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""farrier_active_flag"",""status"":""mapping_candidate_only""}]",Current Farrier working status using the provisional Unitalk taxonomy.
person.professional_credential,Primary professional credential,person,string,"[""farrier""]",optional,not_applicable,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""farrier_certifications"",""status"":""mapping_candidate_only""}]",One primary current professional credential retained for compatibility with the canonical fixture contract.
person.certifications,Professional certifications,person,string_array,"[""farrier""]",optional,not_applicable,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""farrier_certifications"",""status"":""mapping_candidate_only""}]",Current explicitly verified Farrier certifications or memberships.
person.years_experience,Years of experience,person,integer,"[""farrier""]",optional,not_applicable,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""years_experience"",""status"":""mapping_candidate_only""}]",Explicitly stated professional years of experience; never derived from age or graduation year without an approved rule.
person.public_profile_urls,Public professional profile URLs,person,string_array,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,true,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],"Role-relevant public professional profile URLs explicitly linked from the official website, recorded by an authorised human, or returned through a separately approved official API. The link may be retained without opening or extracting the social profile."
person.recent_professional_activity,Recent professional activity,person,structured,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],Dated public professional activity kept separate from private interests and CRM engagement.
person.social_signals,Broad social signals,person,structured,"[""farrier"",""horse_owner""]",do_not_collect,do_not_collect,disabled_pending_source_and_purpose_approval,social_platform_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],"Broad social metrics or inferred interests. Disabled until a permitted signal, purpose and access route are approved."
organisation.business_name,Organisation or business name,organisation,string,"[""farrier"",""horse_owner""]",required,required,permitted_for_proposal,professional_business_data,not_permitted,true,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""company"",""property"":""name"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""company"",""property"":""trade_name"",""status"":""mapping_candidate_only""}]",Verified public or authorised trading/business name.
organisation.website,Official website,organisation,string,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""company"",""property"":""website"",""status"":""mapping_candidate_only""}]",Verified official business website URL.
organisation.website_domain,Official website domain,organisation,string,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""company"",""property"":""domain"",""status"":""mapping_candidate_only""}]","Normalised official domain used as one identity signal, never as a unique match by itself."
organisation.public_profile_urls,Organisation public professional profile URLs,organisation,string_array,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],"Public business social-profile URLs explicitly linked from the organisation's official website, recorded by an authorised human, or returned through a separately approved official API. The link may be retained without opening or extracting the social profile."
organisation.business_phone,Organisation general phone,organisation,string,"[""farrier"",""horse_owner""]",conditional_required,conditional_required,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""company"",""property"":""phone"",""status"":""mapping_candidate_only""}]",General published business phone used as a fallback when no named target-role channel is available.
organisation.business_email,Organisation general email,organisation,string,"[""farrier"",""horse_owner""]",conditional_required,conditional_required,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""company"",""property"":""company_email"",""status"":""mapping_candidate_only""}]",General published business email used as a fallback when no named target-role channel is available.
organisation.public_business_location,Public business location,organisation,structured,"[""farrier"",""horse_owner""]",required,required,permitted_for_proposal,professional_business_data,not_permitted,true,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""company"",""property"":""address"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""company"",""property"":""city"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""company"",""property"":""state"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""company"",""property"":""zip"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""company"",""property"":""country"",""status"":""mapping_candidate_only""}]",Structured public business location. Attempt the complete address when available; state and country are the minimum verified components.
organisation.service_area,Farrier service area,organisation,string_array,"[""farrier""]",required,not_applicable,permitted_for_proposal,professional_business_data,not_permitted,false,null,"[""farrier.high_value_service_area""]",human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],Explicit service regions stored as structured region labels plus preserved source wording.
