Field family,Canonical field candidate,Segment,Existing HubSpot mapping candidate,Decision type,Question for Equinet,Unitalk recommendation
Contact,professional_email,Both,Contact.email / Contact.work_email,Required-stage and data-category,"Is a verified work email sufficient for contact readiness, and may a publicly published personal email be retained for business use?","Prefer work/business email; retain a public personal email only if Equinet explicitly permits it and the source shows professional use."
Contact,business_phone,Both,Contact.phone / Company.phone,Required-stage,"May a verified business phone satisfy the minimum contact requirement when no named-contact email exists?","Yes for review readiness; outreach eligibility remains a separate CRM/consent decision."
Contact,mobile_phone,Both,Contact.mobilephone,Privacy and provider permission,"May A2 discover or store mobile/direct-dial numbers, and from which approved sources?","Disable paid mobile/direct-dial discovery until specifically approved."
Contact,secondary_email,Both,Contact.secondary_email,Optionality,"Is a secondary email useful enough to collect and review?","Optional; do not spend credits by default."
Identity,current_role_title,Both,Contact.jobtitle,Verification and freshness,"Which roles should A2 actively seek, and how current must the evidence be?","Use official current role evidence; record uncertainty and date."
Identity,buying_role,Both,Contact.hs_buying_role,Ownership and inference,"May A2 propose a Buying Role, or must this remain human/CRM-owned?","A2 may recommend; human approval required before CRM mapping."
Organisation,organisation_name,Both,Company.name / Contact.company,Entity ownership,"When a person and business are both present, which record is authoritative for the organisation name?","Company is authoritative after a verified association; preserve Contact text as baseline evidence."
Organisation,website_domain,Both,Company.website / Company.domain,Duplicate rule,"May domain support Company matching, and what additional fields are required?","Use domain as one signal only because it is not a unique HubSpot lookup property."
Location,public_business_location,Both,Contact/Company address city state zip country,Required-stage,"Which location components are mandatory before review and before outreach?","Require country and state for routing; preserve missing lower-level address fields as gaps."
Horse Owner,exact_horse_count,Horse Owner,Contact.owner_horse_count,Required-stage and evidence,"Is exact horse count required before A2 review or only before outreach?","Keep optional for initial review unless Equinet confirms a hard gate; never infer."
Horse Owner,horse_count_range,Horse Owner,Contact.horse_count_range,Taxonomy correction,"Which non-overlapping ranges should replace the current overlapping 5-20 and 11-25 options?","Resolve taxonomy before deterministic qualification or CRM write."
Horse Owner,owner_primary_discipline,Horse Owner,Contact.owner_primary_discipline,Controlled taxonomy,"Are the current HubSpot discipline options approved for A2?","Reuse only after taxonomy review; retain uncategorised source wording separately."
Horse Owner,stable_type,Horse Owner,Contact.stable_type,Controlled taxonomy,"Are Private Farm Boarding Training Breeding Backyard and Other sufficient?","Use as proposed taxonomy after Equinet approval."
Horse Owner,horse_breeds,Horse Owner,Contact.owner_breeds,Optionality,"Are breeds needed for commercial use or should they remain optional?","Optional unless linked to a confirmed campaign or product-use case."
Farrier,professional_status,Farrier,Contact.farrier_active_flag,Required-stage,"Which statuses are required and may Student/Apprentice proceed to review?","Use Full Time Part Time Student/Apprentice; keep apprentice on the approved review pathway."
Farrier,certifications,Farrier,Contact.farrier_certifications,Authoritative source,"Which certification bodies and current-status evidence are accepted?","Use official association/registry or direct confirmation; do not infer."
Farrier,primary_discipline,Farrier,Contact.farrier_primary_discipline / disciplines_worked_with,Controlled taxonomy,"Which field is authoritative and may multiple disciplines be stored?","Use a primary plus multi-value disciplines model; map only after taxonomy approval."
Farrier,service_area,Farrier,No confirmed direct property,Format and minimum,"Should service area be states counties postal codes radius or free text?","Use structured regions plus optional source wording; do not infer from address alone."
Farrier,horses_served_per_month,Farrier,Contact.farrier_horses_served,Privacy and evidence,"May this aggregate business volume be stored, and from which source?","Only explicit authorised aggregate values; optional and never inferred."
Farrier,client_base_summary,Farrier,No confirmed direct property,Scope and privacy,"Does client base mean aggregate size customer types or named clients?","Permit aggregate type/size only; prohibit client identities by default."
Activity,recent_professional_activity,Both,CRM activity fields plus external evidence,Definition and freshness,"Which event types qualify and what is the freshness window?","Separate CRM engagement from public professional activity; define source-specific windows."
Social,public_profile_urls,Both,LinkedIn Facebook Instagram fields,Allowed source and access,"Which person and organisation professional profile URLs may be retained and how may they be collected?","Retain explicit professional social-profile URLs published on the approved official website without opening or extracting the linked profile; keep person and organisation URLs separate; manual discovery or an approved official API remains permitted."
Social,social_signals,Both,No approved canonical field,Definition and access,"Which signals are commercially useful and permitted?","Limit to dated professional activity; prohibit follower-based authority or personal-interest inference."
Network,mutual_connections,Both,No approved source,Source account purpose and storage,"Which authorised source/account may provide mutual connections and what may be stored?","Keep unavailable until an official integration licence purpose and storage rule are approved."
Quality,contact_verification,Both,Contact.contact_verified / Company.mailing_verified,Semantic definition,"What exact evidence makes Contact Info Verified or Address Verified true?","Do not map A2 Verified to these fields until Equinet approves field-level criteria."
Quality,record_data_quality,Both,Contact/Company.data_quality,Semantic definition,"Do Complete Partial and Needs Review match the future A2 record-quality policy?","Treat as mapping candidates only; Unitalk should propose deterministic definitions."
Governance,outreach_eligibility,Both,Consent opt-out customer Deal and sequence fields,Authoritative gate,"Which combination of CRM fields and lists is required before outreach?","HubSpot-only authoritative gate after connection; A2 must never infer eligibility."
Ownership,record_owner,Both,hubspot_owner_id / assigned rep / territory,Assignment rule,"Who owns A2 review and what are the assignment and backup rules?","Preserve current owner or route to needs_owner_review; no automatic reassignment."
