Stage,Decision area,Question for Equinet,Unitalk proposed default,Equinet response
BEFORE FIELD CATALOGUE,Target job roles — Farrier,"Which job roles should A2 identify and prioritise for Farrier prospects? Please mark roles as Primary, Secondary or Exclude, and add functional equivalents used in the market.","Primary: Independent Farrier/Owner; Owner or Founder of a Farrier business; Lead Farrier. Secondary: Business or Office Administrator where commercially relevant. Student/Apprentice is not a primary decision-maker and remains review-only.",
BEFORE FIELD CATALOGUE,Target job roles — Horse Owner,"Which job roles should A2 identify and prioritise for Horse Owner organisations? Please mark roles as Primary, Secondary or Exclude, and add functional equivalents.","Primary: Owner/Founder; Farm or Stable Owner; Stable or Farm Manager; Trainer or Head Trainer; Breeding Manager. Secondary: General Manager or Operations Manager where relevant.",
BEFORE FIELD CATALOGUE,Contact-selection limit,"How many named contacts should A2 retain per prospect, and what should happen when no target-role person is found?","Retain one primary target-role contact and up to two additional role-relevant contacts. If none is found, retain the organisation's general business contact and mark target_role_not_found.",
BEFORE FIELD CATALOGUE,Minimum contactability,"For A2 review readiness, is one verified work email OR one verified business phone sufficient? Can an organisation general contact satisfy review readiness when no named contact channel is available?","Yes for review readiness. This does not establish outreach eligibility, consent or permission to send.",
BEFORE FIELD CATALOGUE,Horse-count range taxonomy,"The existing HubSpot horse_count_range options overlap: 5-20 horses and 11-25 horses. For the pilot may A2 use a verified owner_horse_count as the authoritative numeric value and place the record in an internal A2 horse-count category for review only while leaving the HubSpot field unchanged? After an impact review should Unitalk propose corrected options for the existing HubSpot field?","Pilot recommendation: do not create or modify any HubSpot property. Use verified owner_horse_count when available and place the record in an A2-only horse-count category: 1 horse; 2-4; 5-10; 11-25; 26-50; 51+. Keep the existing HubSpot horse_count_range as a protected baseline only. Later after checking workflow report and historical-data impacts Unitalk may propose replacing the options of the existing field; no new HubSpot field by default.",
BEFORE PILOT,Personal email and mobile/direct dial,"May A2 store a publicly published personal email or mobile number used for professional purposes? May a paid provider discover personal/mobile details?","Allow only explicitly public professional-use details during the initial pilot. Disable paid personal-email and mobile/direct-dial discovery unless Equinet separately approves the field, source and purpose.",
BEFORE PILOT,Farrier enrichment priorities,"Which Farrier fields are Required, Optional or Do Not Collect: current professional status, current role, service area, disciplines, certifications, years of experience, horses served per month and aggregate client-base summary?","Required: current professional status, current role, service area and disciplines. Optional: certifications and years of experience. Do not collect by default: horses served per month or client-base data unless Equinet confirms a use case and permitted source.",
BEFORE PILOT,Horse Owner enrichment priorities,"Which Horse Owner fields are Required, Optional or Do Not Collect: current role, stable/farm type, primary discipline, horse count, horse-count range and breeds?","Required: current role and stable/farm type. Optional: discipline and an explicitly stated horse count. Breeds remain optional. Use only a horse count explicitly stated in an approved source or confirmed by Equinet; do not estimate it from property size, facilities, photos or other indirect clues.",
BEFORE PILOT,LinkedIn and social use,"May A2 retain professional social-profile URLs explicitly linked from the official website and separate person from organisation URLs? Should broad social signals or mutual connections remain disabled?","Retain explicit professional profile URLs from the approved official website without opening or extracting the linked profile. Separate person and organisation URLs. Permit authorised human role verification. Keep automated social extraction, broad social signals and mutual connections disabled until rights and integration approvals exist.",
BEFORE PILOT,A2 reviewer and backup,"Who is the primary Equinet reviewer for A2 enriched records, and who is the backup?","Name one primary and one backup reviewer. HubSpot technical/CRM approvers do not automatically become A2 record reviewers.",
BEFORE PAID TEST,Paid provider and budget,"Which paid lookup types may be tested, what is the pilot budget, and who approves the provider and spend?","Do not test a paid provider until field gaps are measured. Approve provider, account, data route, permitted fields and a hard credit cap before the first call.",
BEFORE GO LIVE,Owner and territory assignment,"Should A2 ever propose or assign an owner/territory, and what are the deterministic primary and backup rules?","Preserve the current HubSpot owner. If no valid owner exists, use needs_owner_review. Do not auto-assign from team or territory metadata alone.",
