source_id,name,source_type,canonical_url,business_approval,source_rights_preflight,runtime_readiness,register_status,purpose,allowed_access_modes,permitted_fields,prohibited_fields,limits,notes
a1_approved_handoff,Approved A1-to-A2 handoff,internal_structured_handoff,null,approved,approved_internal_contract,manual_fixture_ready_durable_integration_pending,approved,"Reuse approved identity, contacts, evidence and limitations.","[""structured_read""]","[""all approved handoff fields""]","[""mutation of A1 snapshot"",""recollection without a named gap""]","{""max_handoffs_per_record"":1}","[""Primary starting source for every A2 record.""]"
hubspot_authoritative_records,HubSpot authoritative records,crm,https://www.hubspot.com/,approved_system_of_record,oauth_and_source_permissions_required,integration_pending,conditional,"Read authoritative customer, Deal, consent, suppression, owner and lifecycle state.","[""approved_read_only_api""]","[""approved Contact, Company and Deal properties""]","[""write"",""unscoped export"",""cross-business-unit access""]","{""read_scope"":""least_privilege"",""writes"":0}","[""Metadata snapshots received; live OAuth and records unavailable.""]"
equinet_authorized_first_party_data,Equinet-authorised files or app records,first_party,null,conditional_per_asset,asset_owner_permission_required,manual_intake_available,conditional,Use client-supplied business facts for named fields.,"[""approved_file_or_export""]","[""explicitly authorised fields""]","[""unapproved files"",""unscoped Mustad-global data""]","{""approval_per_asset"":true}","[""Record asset owner, approval and extraction scope.""]"
prospect_official_website,Prospect official business website,prospect_owned_website,null,approved_by_equinet,per_domain_terms_and_robots_preflight,runtime_policy_pending,conditional,"Check every retained candidate for identity, role, professional contacts and approved field gaps.","[""bounded_public_web_read""]","[""business name"",""current professional role"",""published professional email"",""published business phone"",""business location"",""services"",""disciplines"",""service area"",""credentials claimed by the business"",""stable or farm type"",""explicit horse count"",""dated professional activity"",""public professional profile URLs""]","[""login-gated data"",""private personal data"",""inferred email patterns"",""inferred horse count"",""named client identities""]","{""max_pages_per_candidate"":5,""max_retry_per_failed_url"":1,""concurrency"":1,""required_pages"":[""home_or_primary"",""about_or_team_when_available"",""services_when_available"",""contact_or_location_when_available""],""capture_explicit_outbound_professional_social_links"":true,""open_or_extract_linked_social_profiles"":false}","[""If no official site is located, record not_found; do not substitute an unverified directory as the official site."",""Capture explicit outbound LinkedIn, Facebook, Instagram, YouTube and other clearly professional social-profile URLs found on approved official-site pages."",""Classify a link as person or organisation only when the official-page context supports that attribution; otherwise hold it as ambiguous."",""Retaining the URL does not authorise opening, crawling or extracting the linked social profile.""]"
equinet_representative_confirmation,Recorded Equinet representative confirmation,first_party_human,null,approved_for_recorded_review,authorised_reviewer_required,manual_available,approved,Record authorised corrections and business context.,"[""recorded_human_confirmation""]","[""confirmed business facts"",""documented correction""]","[""unattributed statement"",""outreach consent inference""]","{""reviewer_required"":true}","[""Must include actor and timestamp.""]"
official_professional_registry,Additional official professional associations and registries,official_registry,null,not_in_scope_except_a1_handoff_reuse,not_applicable_until_scope_changes,not_configured,not_selected,No additional direct A2 registry access is required beyond evidence already collected by A1.,[],[],"[""new registry access"",""member-only data"",""bulk extraction""]","{""new_source_calls"":0}","[""Séverine confirmed that A2 has no additional registry or association to visit at this stage.""]"
a1_directory_evidence_reuse,A1 directory evidence reuse,upstream_evidence,null,approved_for_reuse_only,inherits_original_evidence_scope,available_through_handoff,approved,Reuse approved A1 directory evidence already carried in the handoff.,"[""handoff_evidence_reuse""]","[""fields already present in the A1 evidence item""]","[""new directory crawl"",""broader A2 extraction purpose""]","{""new_source_calls"":0}","[""A1 source approval does not authorise new A2 access.""]"
apify_harvestapi_linkedin_profile_search,HarvestAPI LinkedIn Profile Search Scraper,apify_community_actor,https://apify.com/harvestapi/linkedin-profile-search,approved_by_equinet_for_a2_business_purpose,blocked_pending_linkedin_rights_and_harvestapi_vendor_review,account_connector_budget_and_build_pending,conditional,Find or verify a minimum current professional role and company match after the official-site check.,"[""apify_actor_api_after_all_gates""]","[""person.full_name"",""person.role_title"",""organisation.business_name"",""organisation.public_business_location"",""person.public_profile_urls""]","[""personal email"",""phone or mobile"",""full career history"",""education"",""skills"",""recommendations"",""posts"",""followers or connections counts"",""photos"",""personal interests""]","{""trigger"":""named_role_gap_after_official_website_check"",""profile_scraper_mode"":""minimum_fields_only_then_output_review"",""take_pages"":1,""max_items_per_candidate"":5,""max_retained_contacts_per_candidate"":3,""automatic_query_segmentation"":false,""concurrency"":1,""daily_cost_cap_usd"":null,""input_preference"":[""exact_linkedin_company_url"",""verified_company_name_plus_target_role""],""individual_linkedin_profile_url_route"":""manual_review_or_separately_approved_profile_scraper""}","[""Séverine confirmed the gap-only trigger."",""The minimum profile field allowlist is approved as a starting point and will be reviewed against actual Actor output."",""Apify currently lists pay-per-event pricing."",""The Actor is maintained by HarvestAPI and is treated as a Community Actor."",""Business approval does not resolve target-platform rights, vendor governance, retention or runtime readiness."",""Prefer an exact LinkedIn company URL explicitly published on the official website over company-name resolution."",""An individual LinkedIn profile URL is not routed to this search Actor; retain it for authorised human review or a separately approved profile-scraper action.""]"
apify_harvestapi_email_search,HarvestAPI independent email search via LinkedIn Profile Search Actor,commercial_email_search,https://apify.com/harvestapi/linkedin-profile-search,approved_by_equinet_for_a2_business_purpose,blocked_pending_linkedin_rights_email_data_rights_and_harvestapi_vendor_review,account_connector_budget_and_build_pending,conditional,Search for a professional email for a selected matched profile after the role/company match.,"[""apify_actor_full_plus_email_after_all_gates""]","[""professional email"",""email verification result"",""provider provenance"",""verification timestamp""]","[""personal email retention"",""mislabeling the email as LinkedIn-sourced"",""outreach consent inference"",""automatic send""]","{""trigger"":""selected_profile_after_role_company_match"",""max_email_searches_per_candidate"":3,""daily_cost_cap_usd"":null,""concurrency"":1}","[""The Actor documentation states that email search is independent from LinkedIn profile extraction."",""Email provenance must identify the independent search method."",""Only professional email is retained by default."",""Deliverability verification does not create consent.""]"
search_engine_discovery,Search index,search_discovery,null,approved_by_equinet_for_official_site_discovery,standard_search_terms_apply,tool_available_not_profile_activated,conditional,Locate an official website when the A1 handoff lacks a usable URL.,"[""search_results_discovery_only""]","[""destination URL"",""page title""]","[""search snippet as retained evidence"",""bulk person data""]","{""max_queries_per_candidate"":3}","[""Only destination pages may become evidence.""]"
