canonical_field,scope,value_type,allowed_segments,mapping_status,direction,hubspot_destinations,conversion,baseline_authority,populated_manual_value,workflow_dependency_status,write_authorized
person.full_name,person,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""firstname"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Contact"",""property"":""lastname"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",split_first_last_requires_human_review,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.role_title,person,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""jobtitle"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.business_email,person,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""work_email"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Contact"",""property"":""email"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":true,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.personal_email_candidate,person,string,"[""farrier"",""horse_owner""]",review_only_no_hubspot_mapping,canonical_only,[],direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
person.business_phone,person,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""phone"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.mobile_phone,person,string,"[""farrier"",""horse_owner""]",prohibited,read_and_propose_only,"[{""object"":""Contact"",""property"":""mobilephone"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.secondary_email,person,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""secondary_email"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.professional_status,person,enum,"[""farrier""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""farrier_active_flag"",""metadata_found"":true,""hubspot_type"":""enumeration"",""read_only"":false,""unique_lookup"":false,""enum_options"":""Full Time [Full Time]; Part Time [Part Time]; Student/Apprentice [Student/Apprentice]""}]",explicit_enum_mapping_required,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.professional_credential,person,string,"[""farrier""]",canonical_only_compatibility_field,canonical_only,[],direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
person.certifications,person,string_array,"[""farrier""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""farrier_certifications"",""metadata_found"":true,""hubspot_type"":""enumeration"",""read_only"":false,""unique_lookup"":false,""enum_options"":""CF [CF]; CTF [CTF]; CJF [CJF]; CRP [CRP]; AWCF [AWCF]""}]",enum_or_multivalue_conversion_pending,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.years_experience,person,integer,"[""farrier""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""years_experience"",""metadata_found"":true,""hubspot_type"":""number"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
person.public_profile_urls,person,string_array,"[""farrier"",""horse_owner""]",canonical_only_no_hubspot_mapping,canonical_only,[],enum_or_multivalue_conversion_pending,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
person.recent_professional_activity,person,structured,"[""farrier"",""horse_owner""]",canonical_only_no_hubspot_mapping,canonical_only,[],multi_property_mapping_required,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
person.social_signals,person,structured,"[""farrier"",""horse_owner""]",prohibited,canonical_only,[],multi_property_mapping_required,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
organisation.business_name,organisation,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Company"",""property"":""name"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Company"",""property"":""trade_name"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.website,organisation,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Company"",""property"":""website"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.website_domain,organisation,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Company"",""property"":""domain"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.public_profile_urls,organisation,string_array,"[""farrier"",""horse_owner""]",canonical_only_no_hubspot_mapping,canonical_only,[],enum_or_multivalue_conversion_pending,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
organisation.business_phone,organisation,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Company"",""property"":""phone"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.business_email,organisation,string,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Company"",""property"":""company_email"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.public_business_location,organisation,structured,"[""farrier"",""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Company"",""property"":""address"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Company"",""property"":""city"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Company"",""property"":""state"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Company"",""property"":""zip"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""},{""object"":""Company"",""property"":""country"",""metadata_found"":true,""hubspot_type"":""string"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",multi_property_mapping_required,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.service_area,organisation,string_array,"[""farrier""]",canonical_only_no_hubspot_mapping,canonical_only,[],enum_or_multivalue_conversion_pending,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,not_applicable,false
organisation.disciplines,organisation,string_array,"[""farrier"",""horse_owner""]",proposed_segment_specific,read_and_propose_only,"[{""object"":""Contact"",""property"":""disciplines_worked_with"",""metadata_found"":true,""hubspot_type"":""enumeration"",""read_only"":false,""unique_lookup"":false,""enum_options"":""Recreation/Backyard [recreation_backyard]; Western Performance [western_performance]; English Sport [english_sport]; Racing [racing]; Work [work]; Therapeutic [therapeutic]; Other [other]""},{""object"":""Contact"",""property"":""owner_primary_discipline"",""metadata_found"":true,""hubspot_type"":""enumeration"",""read_only"":false,""unique_lookup"":false,""enum_options"":""Racing [Racing]; Sport horse [Sport horse]; Dressage [Dressage]; Show jumping [Show jumping]; Western [Western]; Trail [Trail]; Breeding [Breeding]; Other [Other]""}]",enum_or_multivalue_conversion_pending,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
organisation.horse_count,organisation,integer,"[""horse_owner""]",proposed_unverified,read_and_propose_only,"[{""object"":""Contact"",""property"":""owner_horse_count"",""metadata_found"":true,""hubspot_type"":""number"",""read_only"":false,""unique_lookup"":false,""enum_options"":""""}]",direct_string,hubspot_when_connected_else_validated_input,preserve_and_hold_on_difference,unverified,false
